"","pathwy.id","description","pvalues","Bonferroni","successes","PathwaySize","N","sample.size"
"1","R-HSA-72163","mRNA Splicing - Major Pathway",0,0,2941.31,9848.32,603749.5,15500.07
"2","R-HSA-72766","Translation",0,0,737.82,4549.38,603749.5,15500.07
"3","R-HSA-6798695","Neutrophil degranulation",1.731e-238,1.733e-235,2303.2,43684.78,603749.5,15500.07
"4","R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA",5.04e-233,5.045e-230,381.92,1689.5,603749.5,15500.07
"5","R-HSA-159236","Transport of Mature mRNA derived from an Intron-Containing Transcript",2.165e-115,2.167e-112,195.52,911.09,603749.5,15500.07
"6","R-HSA-379716","Cytosolic tRNA aminoacylation",1.666e-105,1.668e-102,112,257.25,603749.5,15500.07
"7","R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol",8.076e-96,8.084e-93,556.76,7997.93,603749.5,15500.07
"8","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane",9.816e-90,9.826e-87,105.35,285.12,603749.5,15500.07
"9","R-HSA-611105","Respiratory electron transport",9.003e-88,9.012e-85,266.67,2381.18,603749.5,15500.07
"10","R-HSA-168273","Influenza Viral RNA Transcription and Replication",5.894e-58,5.9e-55,88.64,362.17,603749.5,15500.07
"11","R-HSA-6799198","Complex I biogenesis",1.257e-47,1.258e-44,153,1460.7,603749.5,15500.07
"12","R-HSA-6807878","COPI-mediated anterograde transport",3.497e-47,3.5e-44,235.5,3103.12,603749.5,15500.07
"13","R-HSA-162909","Host Interactions of HIV factors",1.084e-45,1.085e-42,68.97,274.81,603749.5,15500.07
"14","R-HSA-5663205","Infectious disease",3.911e-43,3.915e-40,149.8,1515.79,603749.5,15500.07
"15","R-HSA-168255","Influenza Life Cycle",3.13e-38,3.133e-35,47.39,143.9,603749.5,15500.07
"16","R-HSA-6807505","RNA polymerase II transcribes snRNA genes",1.373e-33,1.374e-30,113.14,1136.34,603749.5,15500.07
"17","R-HSA-3371453","Regulation of HSF1-mediated heat shock response",2.261e-31,2.263e-28,88.21,757.9,603749.5,15500.07
"18","R-HSA-8868773","rRNA processing in the nucleus and cytosol",1.325e-29,1.326e-26,72.15,542.49,603749.5,15500.07
"19","R-HSA-6811442","Intra-Golgi and retrograde Golgi-to-ER traffic",1.072e-28,1.073e-25,143.88,1916.95,603749.5,15500.07
"20","R-HSA-1428517","The citric acid (TCA) cycle and respiratory electron transport",1.4e-27,1.401e-24,123.98,1537.04,603749.5,15500.07
"21","R-HSA-73817","Purine ribonucleoside monophosphate biosynthesis",3.758e-27,3.762e-24,28,66,603749.5,15500.07
"22","R-HSA-162599","Late Phase of HIV Life Cycle",5.395e-27,5.4e-24,61.8,428.12,603749.5,15500.07
